season,situation,name,team,pos,gp,toi,cf,ca,cf60,ca60,cf_per,tmcf60,tmca60,tmcf_per,oppcf60,oppca60,oppcf_per,cf60reltm,ca60reltm,cf_per_reltm,csh_per,csv_per,cpdo,totfo,nzfo,dzfo,ozfo,igoals,iassists,ipoints,ishot_per,igoals60,iassists60,ipoints60,ipp,igp,iap,gf,ga,gf60,ga60,gf_per,tmgf60,tmga60,tmgf_per,oppgf60,oppga60,oppgf_per,gf60reltm,ga60reltm,gf_per_reltm
2014-2015,5v5,TOM GILBERT,Montreal,D,72,1138:36:00,952,1130,50.2,59.5,45.7,54.6,56.3,49.2,54,53.8,50.1,-4.44,3.21,-3.5,4.2,97,101.2,1113,410,404,299,4,7,11,6.8,0.21,0.37,0.58,27.5,10,17.5,40,34,2.11,1.79,54.1,2.19,1.87,54,2.23,2.23,50,-0.09,-0.08,0.1
2014-2015,5v5,BRIAN GIONTA,Buffalo,F(RW),69,947:33:00,712,1054,45.1,66.7,40.3,39.9,66.6,37.5,55,54.1,50.4,5.21,0.15,2.9,3.9,96.7,100.6,991,336,370,285,6,13,19,5.4,0.38,0.82,1.2,67.9,21.4,46.4,28,35,1.77,2.22,44.4,1.7,2.69,38.7,2.28,2.21,50.8,0.07,-0.48,5.7
2014-2015,5v5,STEPHEN GIONTA,New Jersey,F(RW),61,639:55:00,457,499,42.8,46.8,47.8,45.6,51.2,47.1,54.6,54.3,50.2,-2.7,-4.37,0.7,3.7,96.8,100.5,521,203,193,125,5,3,8,6.5,0.47,0.28,0.75,47.1,29.4,17.7,17,16,1.59,1.5,51.5,1.73,1.96,46.9,2.23,2.26,49.7,-0.13,-0.46,4.7
2014-2015,5v5,MARK GIORDANO,Calgary,D,61,1114:33:00,985,1054,53,56.7,48.3,48.3,65.4,42.5,55.7,53.9,50.8,4.76,-8.62,5.8,4.3,96.3,100.6,1162,380,452,330,4,18,22,4.6,0.22,0.97,1.18,52.4,9.5,42.9,42,39,2.26,2.1,51.9,2.12,2.39,47.1,2.27,2.26,50.1,0.14,-0.29,4.8
2014-2015,5v5,DAN GIRARDI,NY Rangers,D,82,1423:34:00,1224,1426,51.6,60.1,46.2,56.5,52.8,51.7,54.9,54.2,50.3,-4.91,7.33,-5.5,4.8,96.1,100.9,1480,548,537,395,3,13,16,4.3,0.13,0.55,0.67,27.1,5.1,22,59,56,2.49,2.36,51.3,2.93,1.88,60.8,2.26,2.24,50.2,-0.44,0.48,-9.5
2014-2015,5v5,ZEMGUS GIRGENSONS,Buffalo,F(C),61,861:59:00,543,988,37.8,68.8,35.5,42.8,66.7,39.1,54.9,53.5,50.6,-5.02,2.09,-3.6,4.6,96,100.6,811,265,325,221,11,10,21,12.2,0.77,0.7,1.46,84,44,40,25,40,1.74,2.78,38.5,1.78,2.45,42.1,2.28,2.19,51.1,-0.04,0.34,-3.6
2014-2015,5v5,CLAUDE GIROUX,Philadelphia,F(RW),81,1221:16:00,1246,1109,61.2,54.5,52.9,52.8,56.2,48.4,55,54.3,50.3,8.45,-1.72,4.5,3.5,96.3,99.8,1349,374,466,509,11,19,30,5.9,0.54,0.93,1.47,68.2,25,43.2,44,41,2.16,2.01,51.8,2.1,2.04,50.7,2.27,2.23,50.4,0.06,-0.02,1
2014-2015,5v5,TANNER GLASS,NY Rangers,F(LW),66,602:49:00,453,588,45.1,58.5,43.5,55.4,54.2,50.5,53,54.6,49.3,-10.31,4.28,-7,3.1,95.2,98.3,519,203,211,105,1,4,5,2.1,0.1,0.4,0.5,35.7,7.1,28.6,14,28,1.39,2.79,33.3,2.55,1.93,56.9,2.1,2.21,48.7,-1.16,0.86,-23.6
2014-2015,5v5,TIM GLEASON,Washington,D,72,1020:59:00,895,918,52.6,53.9,49.4,57.1,51.4,52.6,53.5,55.2,49.2,-4.54,2.51,-3.3,3.6,95.3,98.9,902,323,261,318,1,8,9,2,0.06,0.47,0.53,28.1,3.1,25,32,43,1.88,2.53,42.7,1.98,2.2,47.4,2.2,2.21,49.8,-0.1,0.33,-4.7
2014-2015,5v5,CURTIS GLENCROSS,Washington,F(LW),71,919:36:00,748,886,48.8,57.8,45.8,51.7,60.7,46,54.9,54.1,50.4,-2.92,-2.9,-0.2,3.9,96.8,100.7,970,349,365,256,8,12,20,9.5,0.52,0.78,1.3,69,27.6,41.4,29,28,1.89,1.83,50.9,2.28,2.32,49.5,2.24,2.23,50.1,-0.39,-0.5,1.4
2014-2015,5v5,LUKE GLENDENING,Detroit,F(C),82,886:56:00,619,776,41.9,52.5,44.4,51.3,45.6,52.9,54.2,54.7,49.8,-9.4,6.85,-8.5,4.5,96.9,101.4,847,322,336,189,9,6,15,10.6,0.61,0.41,1.01,53.6,32.1,21.4,28,24,1.89,1.62,53.9,1.65,2.14,43.6,2.22,2.23,49.8,0.25,-0.51,10.3
2014-2015,5v5,MARCEL GOC,St. Louis,F(C),74,667:29:00,519,520,46.7,46.7,50,51.5,51.3,50.1,53.8,54.3,49.8,-4.83,-4.55,-0.1,2.5,97.1,99.6,545,219,178,148,3,5,8,4.5,0.27,0.45,0.72,61.5,23.1,38.5,13,15,1.17,1.35,46.4,2.08,2.07,50.1,2.21,2.22,49.9,-0.91,-0.72,-3.6
2014-2015,5v5,ALEX GOLIGOSKI,Dallas,D,81,1422:29:00,1521,1317,64.2,55.6,53.6,60.2,58.5,50.7,55,54.1,50.4,3.94,-2.91,2.9,4.6,95.3,99.9,1565,647,467,451,4,20,24,4,0.17,0.84,1.01,34.3,5.7,28.6,70,62,2.95,2.62,53,2.61,2.66,49.5,2.29,2.21,50.8,0.34,-0.04,3.5
2014-2015,5v5,CODY GOLOUBEF,Columbus,D,36,516:49:00,439,435,51,50.5,50.2,50.2,55.9,47.3,53.2,55.3,49.1,0.73,-5.41,2.9,5.2,97.2,102.5,484,176,157,151,0,8,8,0,0,0.93,0.93,34.8,0,34.8,23,12,2.67,1.39,65.7,2.17,2.77,44,2.19,2.18,50.1,0.5,-1.38,21.7
2014-2015,5v5,SCOTT GOMEZ,New Jersey,F(C),58,790:35:00,642,722,48.7,54.8,47.1,45.4,49.8,47.7,54.3,54.8,49.8,3.29,5,-0.6,4,96.4,100.4,701,240,203,258,6,12,18,10.7,0.46,0.91,1.37,69.2,23.1,46.2,26,26,1.97,1.97,50,1.87,1.88,49.9,2.2,2.25,49.5,0.1,0.1,0.1
2014-2015,5v5,SERGEI GONCHAR,Montreal,D,48,698:19:00,603,700,51.8,60.1,46.3,54.8,56.3,49.3,53.8,54.4,49.7,-2.98,3.82,-3,3.6,97.7,101.4,642,224,211,207,1,9,10,3.8,0.09,0.77,0.86,45.5,4.6,40.9,22,16,1.89,1.38,57.9,2.29,1.95,54.1,2.21,2.22,49.8,-0.4,-0.57,3.8
2014-2015,5v5,BARCLAY GOODROW,San Jose,F(C),60,606:35:00,514,569,50.8,56.3,47.5,57.9,56.5,50.6,54.1,54.7,49.7,-7.08,-0.26,-3.1,3.3,96.5,99.8,541,184,191,166,4,7,11,6.3,0.4,0.69,1.09,64.7,23.5,41.2,17,20,1.68,1.98,46,2,2.29,46.6,2.17,2.29,48.7,-0.32,-0.31,-0.6
2014-2015,5v5,BOYD GORDON,Edmonton,F(C),68,692:04:00,511,657,44.3,57,43.8,51.6,56.9,47.5,54.8,54.2,50.3,-7.27,0.04,-3.8,2.7,96.3,99.1,867,228,508,131,4,6,10,7.3,0.35,0.52,0.87,71.4,28.6,42.9,14,24,1.21,2.08,36.8,1.7,3,36.1,2.24,2.21,50.4,-0.48,-0.92,0.7
2014-2015,5v5,JOSH GORGES,Buffalo,D,46,802:51:00,468,895,35,66.9,34.3,42.4,65.4,39.3,55.3,53.1,51,-7.4,1.48,-5,3.6,95.8,99.4,850,296,364,190,0,5,5,0,0,0.37,0.37,29.4,0,29.4,17,38,1.27,2.84,30.9,1.96,2.41,44.8,2.32,2.21,51.2,-0.69,0.43,-13.9
2014-2015,5v5,BRANDON GORMLEY,Arizona,D,27,347:35:00,328,345,56.6,59.6,48.7,54.1,58.3,48.1,54,55.1,49.5,2.57,1.21,0.7,3,95.9,99,322,130,81,111,1,2,3,2.9,0.17,0.35,0.52,30,10,20,10,14,1.73,2.42,41.7,1.57,2.65,37.3,2.22,2.32,48.8,0.16,-0.23,4.4
2014-2015,5v5,MICHAEL GRABNER,NY Islanders,F(RW),34,370:04:00,383,373,62.1,60.5,50.7,61.1,54.5,52.9,55.2,53.6,50.7,0.95,5.99,-2.2,3.9,96.5,100.4,385,122,164,99,7,5,12,12.7,1.13,0.81,1.95,80,46.7,33.3,15,13,2.43,2.11,53.6,2.53,2.36,51.8,2.26,2.2,50.7,-0.1,-0.25,1.8
2014-2015,5v5,MIKHAIL GRABOVSKI,NY Islanders,F(C),51,621:15:00,669,533,64.6,51.5,55.7,61.1,56.6,51.9,54.2,53.8,50.2,3.54,-5.16,3.8,3.3,96.6,99.9,596,227,204,165,8,9,17,11.8,0.77,0.87,1.64,77.3,36.4,40.9,22,18,2.13,1.74,55,2.62,2.42,51.9,2.27,2.22,50.6,-0.49,-0.69,3.1
2014-2015,5v5,PETTER GRANBERG,Toronto,D,7,63:09:00,40,56,38,53.2,41.7,51.8,59.3,46.6,54,52.9,50.5,-13.76,-6.11,-4.9,2.5,98.2,100.7,49,19,14,16,0,0,0,0,0,0,0,0,0,0,1,1,0.95,0.95,50,2.12,2.51,45.8,1.96,2.21,47,-1.17,-1.56,4.2
2014-2015,5v5,MARKUS GRANLUND,Calgary,F(C),48,558:14:00,435,622,46.8,66.9,41.2,50.4,61.2,45.2,54.9,54.3,50.3,-3.66,5.62,-4,5.3,95.7,100.9,520,187,157,176,7,9,16,12.3,0.75,0.97,1.72,69.6,30.4,39.1,23,27,2.47,2.9,46,2.23,2.23,50,2.2,2.25,49.3,0.24,0.67,-4
2014-2015,5v5,MIKAEL GRANLUND,Minnesota,F(C),68,970:04:00,996,901,61.6,55.7,52.5,55.4,52.8,51.2,55,54.5,50.3,6.2,2.97,1.3,5,96.4,101.5,884,288,236,360,8,21,29,10,0.49,1.3,1.79,58,16,42,50,32,3.09,1.98,61,2.4,2.3,51.1,2.29,2.22,50.8,0.7,-0.32,9.9
2014-2015,5v5,MIKE GREEN,Washington,D,72,1058:42:00,978,893,55.4,50.6,52.3,56.6,53.9,51.2,53.1,54.4,49.4,-1.13,-3.34,1.1,4.3,96.5,100.8,862,283,236,343,9,15,24,8.1,0.51,0.85,1.36,57.1,21.4,35.7,42,31,2.38,1.76,57.5,2.18,2.19,50,2.12,2.22,48.9,0.2,-0.43,7.6
2014-2015,5v5,ANDY GREENE,New Jersey,D,82,1457:43:00,1140,1236,46.9,50.9,48,44.6,49.9,47.2,55.3,54.5,50.3,2.37,0.96,0.8,3.8,96.5,100.3,1348,510,497,341,3,16,19,4.3,0.12,0.66,0.78,44.2,7,37.2,43,43,1.77,1.77,50,1.72,2.01,46,2.29,2.26,50.3,0.05,-0.24,4
2014-2015,5v5,MATT GREENE,Los Angeles,D,82,1095:52:00,1070,907,58.6,49.7,54.1,59.6,46.7,56.1,54,55.1,49.5,-0.98,3,-2,3.6,95.7,99.3,976,330,274,372,3,6,9,4.4,0.16,0.33,0.49,23.7,7.9,15.8,38,39,2.08,2.14,49.4,2.41,1.77,57.7,2.2,2.27,49.2,-0.33,0.36,-8.3
2014-2015,5v5,COLIN GREENING,Ottawa,F(C),26,251:39:00,233,221,55.6,52.7,51.3,54.2,55.1,49.6,54.3,54,50.1,1.37,-2.45,1.8,0.9,95.9,96.8,231,88,84,59,0,0,0,0,0,0,0,0,0,0,2,9,0.48,2.15,18.2,2.29,2.2,51,2.23,2.17,50.7,-1.81,-0.05,-32.8
2014-2015,5v5,SETH GRIFFITH,Boston,F(C),30,341:04:00,304,310,53.5,54.5,49.5,56.1,52.4,51.7,53.8,55.2,49.3,-2.6,2.13,-2.2,3.3,96.1,99.4,280,81,94,105,5,2,7,18.5,0.88,0.35,1.23,70,50,20,10,12,1.76,2.11,45.5,2.27,1.95,53.9,2.13,2.3,48.1,-0.51,0.16,-8.4
2014-2015,5v5,MIKHAIL GRIGORENKO,Buffalo,F(C),25,342:19:00,248,380,43.5,66.6,39.5,41.1,66.6,38.2,55,53.7,50.6,2.33,0,1.3,3.6,95.8,99.4,329,109,133,87,2,2,4,6.7,0.35,0.35,0.7,44.4,22.2,22.2,9,16,1.58,2.8,36,1.68,2.65,38.8,2.23,2.21,50.3,-0.1,0.16,-2.8
2014-2015,5v5,ROCCO GRIMALDI,Florida,F(C),7,78:50:00,70,53,53.3,40.3,56.9,54,51.2,51.3,55.8,54.7,50.5,-0.7,-10.9,5.6,0,98.1,98.1,71,28,25,18,0,0,0,0,0,0,0,0,0,0,0,1,0,0.76,0,2.45,2.21,52.6,2.22,2.12,51.1,-2.45,-1.45,-52.6
2014-2015,5v5,NICKLAS GROSSMANN,Philadelphia,D,68,1013:43:00,834,967,49.4,57.2,46.3,55.7,54.1,50.7,54.5,54.3,50.1,-6.33,3.11,-4.4,4.6,96.9,101.5,1010,355,316,339,5,9,14,14.3,0.3,0.53,0.83,36.8,13.2,23.7,38,30,2.25,1.78,55.9,1.95,2.17,47.3,2.24,2.22,50.2,0.3,-0.39,8.6
2014-2015,5v5,ERIC GRYBA,Ottawa,D,75,955:43:00,787,895,49.4,56.2,46.8,56.6,54.9,50.8,53.9,54.7,49.6,-7.17,1.3,-4,4.4,96,100.4,846,300,312,234,0,11,11,0,0,0.69,0.69,31.4,0,31.4,35,36,2.2,2.26,49.3,2.29,2.12,51.9,2.2,2.25,49.4,-0.09,0.14,-2.6
2014-2015,5v5,RADKO GUDAS,Tampa Bay,D,31,470:12:00,488,446,62.3,56.9,52.3,54.8,48.7,52.9,53.7,55.2,49.3,7.46,8.16,-0.7,3.3,95.7,99,411,152,109,150,2,3,5,3.5,0.26,0.38,0.64,31.3,12.5,18.8,16,19,2.04,2.43,45.7,2.8,2.05,57.8,2.17,2.28,48.8,-0.76,0.38,-12.1
2014-2015,5v5,ERIK GUDBRANSON,Florida,D,76,1116:33:00,984,1005,52.9,54,49.5,52.6,52.2,50.2,54.6,54.6,50,0.26,1.84,-0.7,4.2,95.7,99.9,1153,415,422,316,4,5,9,4.6,0.21,0.27,0.48,22,9.8,12.2,41,43,2.2,2.31,48.8,2.12,2.44,46.5,2.25,2.23,50.2,0.08,-0.13,2.3
2014-2015,5v5,NATE GUENIN,Colorado,D,76,1051:57:00,746,1115,42.6,63.6,40.1,49.7,61.2,44.8,54.9,54.1,50.4,-7.11,2.41,-4.7,6,96.1,102.1,990,351,350,289,2,13,15,6.1,0.11,0.74,0.86,33.3,4.4,28.9,45,44,2.57,2.51,50.6,2.35,2.41,49.4,2.24,2.21,50.4,0.22,0.1,1.2
2014-2015,5v5,CARL GUNNARSSON,St. Louis,D,61,952:19:00,817,824,51.5,51.9,49.8,57.1,50.9,52.9,54.5,54.7,49.9,-5.65,0.97,-3.1,4.9,95.9,100.8,957,336,267,354,2,8,10,5.1,0.13,0.5,0.63,25,5,20,40,34,2.52,2.14,54.1,2.59,2.05,55.9,2.22,2.26,49.5,-0.07,0.09,-1.8
2014-2015,5v5,CARL HAGELIN,NY Rangers,F(LW),82,1047:05:00,970,955,55.6,54.7,50.4,53.4,55.7,48.9,54.4,54.2,50.1,2.19,-1.02,1.5,4.8,96.4,101.3,874,353,260,261,12,16,28,7.6,0.69,0.92,1.6,59.6,25.5,34,47,34,2.69,1.95,58,2.48,2.07,54.5,2.21,2.22,49.9,0.21,-0.12,3.5
2014-2015,5v5,RON HAINSEY,Carolina,D,81,1424:26:00,1298,1195,54.7,50.3,52.1,58.9,52.1,53.1,54.3,54.4,49.9,-4.28,-1.75,-1,3.2,95.4,98.6,1373,482,411,480,2,5,7,2.8,0.08,0.21,0.29,17.1,4.9,12.2,41,55,1.73,2.32,42.7,2.02,2.41,45.6,2.25,2.19,50.6,-0.29,-0.1,-2.9
2014-2015,5v5,MATT HALISCHUK,Winnipeg,F(RW),47,429:55:00,362,363,50.5,50.7,49.9,54.6,50.1,52.2,53.5,55.1,49.3,-4.07,0.61,-2.2,4.4,97,101.4,351,136,103,112,3,5,8,5.1,0.42,0.7,1.12,50,18.8,31.3,16,11,2.23,1.54,59.3,2.03,2.06,49.6,2.14,2.29,48.3,0.2,-0.53,9.6
2014-2015,5v5,TAYLOR HALL,Edmonton,F(LW),53,818:45:00,789,774,57.8,56.7,50.5,53.3,57,48.3,55.7,54.4,50.6,4.54,-0.24,2.2,4.6,95.6,100.2,815,338,212,265,7,19,26,6.8,0.51,1.39,1.91,72.2,19.4,52.8,36,34,2.64,2.49,51.4,2.03,3.16,39.2,2.28,2.22,50.7,0.6,-0.67,12.3
2014-2015,5v5,DAN HAMHUIS,Vancouver,D,59,960:19:00,848,833,53,52,50.5,53.7,55.9,49,55.1,54.6,50.2,-0.76,-3.9,1.5,4.5,94.6,99.1,889,344,289,256,0,13,13,0,0,0.81,0.81,34.2,0,34.2,38,45,2.37,2.81,45.8,2.26,2.39,48.5,2.22,2.26,49.6,0.12,0.42,-2.7
2014-2015,5v5,DOUGIE HAMILTON,Boston,D,72,1196:38:00,1242,1017,62.3,51,55,53.5,53.5,50,54.4,54.8,49.8,8.77,-2.5,5,3.9,95,98.9,1125,385,391,349,3,19,22,2.4,0.15,0.95,1.1,44.9,6.1,38.8,49,51,2.46,2.56,49,1.88,1.82,50.8,2.26,2.25,50.1,0.58,0.74,-1.8
2014-2015,5v5,FREDDIE HAMILTON,Colorado,F(C),18,127:05:00,74,116,34.9,54.8,39,44,61.6,41.7,52.5,55,48.9,-9.03,-6.84,-2.7,4.1,96.6,100.6,118,47,35,36,1,0,1,9.1,0.47,0,0.47,33.3,33.3,0,3,4,1.42,1.89,42.9,1.9,2.15,47,2.06,2.3,47.3,-0.49,-0.26,-4.1
2014-2015,5v5,RYAN HAMILTON,Edmonton,F(LW),16,188:32:00,133,190,42.3,60.5,41.2,52.2,57,47.8,55.5,53.1,51.1,-9.86,3.43,-6.6,2.3,95.3,97.5,166,66,55,45,0,1,1,0,0,0.32,0.32,33.3,0,33.3,3,9,0.96,2.86,25,1.81,2.79,39.3,2.27,2.19,50.9,-0.85,0.07,-14.3
2014-2015,5v5,TRAVIS HAMONIC,NY Islanders,D,71,1242:24:00,1274,1235,61.5,59.6,50.8,60.5,53.1,53.2,54.2,54.2,50,1.07,6.56,-2.5,3.8,96.7,100.5,1198,447,364,387,3,19,22,3,0.14,0.92,1.06,44.9,6.1,38.8,49,41,2.37,1.98,54.4,2.58,2.54,50.4,2.23,2.21,50.2,-0.22,-0.56,4
2014-2015,5v5,SCOTT HANNAN,San Jose,D,58,814:21:00,733,797,54,58.7,47.9,60.4,55.1,52.3,53.8,54,49.9,-6.35,3.64,-4.4,4,96.4,100.3,773,261,246,266,2,5,7,4.2,0.15,0.37,0.52,24.1,6.9,17.2,29,29,2.14,2.14,50,2.02,2.35,46.2,2.19,2.23,49.5,0.12,-0.21,3.8
2014-2015,5v5,JANNIK HANSEN,Vancouver,F(RW),81,944:04:00,830,888,52.8,56.4,48.3,50.5,56.8,47.1,54.9,54.4,50.2,2.28,-0.35,1.3,4,95,99,884,313,302,269,9,15,24,7.8,0.57,0.95,1.53,72.7,27.3,45.5,33,44,2.1,2.8,42.9,2.33,2.25,50.9,2.22,2.22,50,-0.23,0.55,-8
2014-2015,5v5,MARTIN HANZAL,Arizona,F(C),37,499:31:00,473,429,56.8,51.5,52.4,55.5,56.5,49.6,55,55,50,1.29,-4.94,2.9,4.7,94.2,98.8,519,207,145,167,6,11,17,10.2,0.72,1.32,2.04,77.3,27.3,50,22,25,2.64,3,46.8,1.62,2.54,39,2.29,2.33,49.5,1.02,0.46,7.8
2014-2015,5v5,SCOTT HARRINGTON,Pittsburgh,D,10,130:15:00,127,112,58.5,51.6,53.1,56.2,50.4,52.8,54.4,53.5,50.4,2.28,1.23,0.4,2.4,88.4,90.8,118,46,28,44,0,0,0,0,0,0,0,0,0,0,3,13,1.38,5.99,18.8,2.27,1.92,54.3,2.25,2.08,52,-0.89,4.07,-35.5
2014-2015,5v5,JAY HARRISON,Winnipeg,D,55,719:41:00,671,658,55.9,54.9,50.5,55,50.5,52.1,54.2,54.1,50,0.95,4.32,-1.6,3.4,96.5,99.9,678,238,220,220,2,5,7,5,0.17,0.42,0.58,30.4,8.7,21.7,23,23,1.92,1.92,50,2.03,2.19,48.1,2.15,2.27,48.7,-0.11,-0.27,1.9
2014-2015,5v5,PETER HARROLD,New Jersey,D,43,554:23:00,368,474,39.8,51.3,43.7,46.6,50.6,47.9,54.5,54.3,50.1,-6.75,0.67,-4.2,3.5,95.8,99.3,456,161,170,125,3,1,4,10.3,0.32,0.11,0.43,30.8,23.1,7.7,13,20,1.41,2.17,39.4,1.82,1.79,50.5,2.17,2.25,49.1,-0.42,0.38,-11.1
2014-2015,5v5,SCOTT HARTNELL,Columbus,F(LW),77,1081:00:00,1040,979,57.7,54.3,51.5,48.8,56.1,46.6,54.3,54.5,49.9,8.9,-1.71,5,5.2,95,100.2,1081,368,360,353,17,21,38,10.9,0.94,1.17,2.11,70.4,31.5,38.9,54,49,3,2.72,52.4,2.04,2.52,44.7,2.21,2.2,50.2,0.96,0.2,7.7
2014-2015,5v5,ERIK HAULA,Minnesota,F(LW),72,699:05:00,586,620,50.3,53.2,48.6,53.3,52.9,50.2,54.7,54.3,50.2,-3.03,0.28,-1.6,3.4,95.6,99.1,635,241,230,164,6,6,12,7.4,0.52,0.52,1.03,60,30,30,20,27,1.72,2.32,42.6,2.6,2.31,52.9,2.23,2.24,49.9,-0.88,0,-10.3
2014-2015,5v5,MARTIN HAVLAT,New Jersey,F(RW),40,499:13:00,357,435,42.9,52.3,45.1,45.9,49.9,47.9,55.7,54.9,50.4,-3.01,2.41,-2.9,3.4,95.4,98.8,477,179,185,113,2,6,8,5.3,0.24,0.72,0.96,66.7,16.7,50,12,20,1.44,2.4,37.5,1.74,1.85,48.5,2.29,2.26,50.4,-0.29,0.56,-11
2014-2015,5v5,JIMMY HAYES,Florida,F(RW),72,912:39:00,858,797,56.4,52.4,51.8,53.9,51.5,51.2,54.2,54.9,49.7,2.48,0.92,0.7,4.5,95.7,100.3,834,281,244,309,15,8,23,10.9,0.99,0.53,1.51,59,38.5,20.5,39,34,2.56,2.24,53.4,2.22,2.23,49.9,2.22,2.21,50.1,0.34,0.01,3.5
2014-2015,5v5,KEVIN HAYES,NY Rangers,F(RW),79,925:41:00,865,826,56.1,53.5,51.2,53.7,56.3,48.8,54.3,54.3,50,2.35,-2.75,2.3,4.9,96.4,101.2,766,324,175,267,14,22,36,14.3,0.91,1.43,2.33,85.7,33.3,52.4,42,30,2.72,1.95,58.3,2.54,2.04,55.5,2.18,2.22,49.5,0.18,-0.1,2.9
2014-2015,5v5,DANY HEATLEY,Anaheim,F(LW),6,63:50:00,48,64,45.1,60.2,42.9,54.6,53.6,50.5,56.4,54.4,50.9,-9.53,6.53,-7.6,2.1,93.8,95.8,56,19,15,22,0,0,0,0,0,0,0,0,0,0,1,4,0.94,3.76,20,2.39,2.23,51.7,2.15,2.15,50,-1.45,1.53,-31.7
2014-2015,5v5,VICTOR HEDMAN,Tampa Bay,D,59,962:12:00,924,791,57.6,49.3,53.9,55.6,49.3,53,53.5,54.7,49.4,2.03,0.02,0.9,6.1,95.1,101.1,934,324,237,373,7,13,20,8.5,0.44,0.81,1.25,35.7,12.5,23.2,56,39,3.49,2.43,59,2.59,2.01,56.4,2.17,2.2,49.7,0.9,0.43,2.6
2014-2015,5v5,JAN HEJDA,Colorado,D,81,1395:14:00,1126,1452,48.4,62.4,43.7,48.3,62.2,43.7,55.4,54,50.6,0.08,0.26,-0.1,4.2,95.8,100,1358,476,494,388,1,11,12,1.3,0.04,0.47,0.52,25.5,2.1,23.4,47,61,2.02,2.62,43.5,2.61,2.28,53.3,2.29,2.24,50.5,-0.59,0.34,-9.8
2014-2015,5v5,SETH HELGESON,New Jersey,D,22,268:29:00,184,235,41.1,52.5,43.9,45.6,49.9,47.7,53.4,55.8,48.9,-4.45,2.62,-3.8,5.4,97,102.5,233,104,79,50,0,2,2,0,0,0.45,0.45,20,0,20,10,7,2.24,1.56,58.8,1.75,1.86,48.4,2.19,2.27,49.1,0.49,-0.3,10.4
2014-2015,5v5,DARREN HELM,Detroit,F(C),75,908:42:00,917,685,60.5,45.2,57.2,52.7,44.9,54,54.5,55,49.8,7.82,0.32,3.2,3.7,95.2,98.9,883,303,257,323,8,12,20,6.4,0.53,0.79,1.32,58.8,23.5,35.3,34,33,2.25,2.18,50.8,2.09,1.91,52.2,2.24,2.25,49.9,0.16,0.27,-1.5
2014-2015,5v5,ALES HEMSKY,Dallas,F(RW),76,848:53:00,896,831,63.3,58.7,51.9,61.1,55.3,52.5,54.3,54.3,50,2.22,3.44,-0.6,4.1,95.1,99.2,881,321,234,326,8,14,22,6.7,0.57,0.99,1.56,59.5,21.6,37.8,37,41,2.62,2.9,47.4,2.64,2.51,51.2,2.25,2.23,50.2,-0.02,0.39,-3.8
2014-2015,5v5,MATT HENDRICKS,Edmonton,F(C),71,751:59:00,598,727,47.7,58,45.1,49.4,56.7,46.5,54.4,54.2,50.1,-1.64,1.32,-1.4,2.5,95.5,98,813,238,434,141,5,5,10,5.6,0.4,0.4,0.8,66.7,33.3,33.3,15,33,1.2,2.63,31.3,1.73,2.71,38.9,2.23,2.2,50.4,-0.53,-0.08,-7.7
2014-2015,5v5,ADAM HENRIQUE,New Jersey,F(C),75,987:57:00,796,940,48.3,57.1,45.9,44.9,48.8,47.9,54.8,54.5,50.1,3.39,8.27,-2.1,4.3,96.2,100.4,898,328,308,262,10,13,23,9.8,0.61,0.79,1.4,67.7,29.4,38.2,34,36,2.07,2.19,48.6,1.69,1.82,48.1,2.24,2.25,49.9,0.37,0.37,0.4
2014-2015,5v5,TOMAS HERTL,San Jose,F(C),82,1040:34:00,1111,938,64.1,54.1,54.2,58.7,56.2,51.1,54.4,54.5,49.9,5.34,-2.07,3.1,3.4,95.7,99.2,1029,329,368,332,10,12,22,7.9,0.58,0.69,1.27,57.9,26.3,31.6,38,40,2.19,2.31,48.7,2.1,2.33,47.4,2.21,2.25,49.7,0.09,-0.03,1.4
2014-2015,5v5,THOMAS HICKEY,NY Islanders,D,81,1288:49:00,1249,1160,58.1,54,51.9,63.2,54.7,53.6,53.9,54.1,49.9,-5.07,-0.73,-1.8,3.9,94.3,98.2,1233,469,368,396,1,17,18,1.5,0.05,0.79,0.84,36.7,2,34.7,49,66,2.28,3.07,42.6,2.78,2.05,57.6,2.21,2.2,50,-0.5,1.02,-15
2014-2015,5v5,CHRIS HIGGINS,Vancouver,F(LW),77,903:19:00,864,842,57.4,55.9,50.6,52.5,54.6,49,54.8,54.6,50.1,4.92,1.37,1.6,4.9,95.7,100.6,859,298,288,273,8,19,27,6.7,0.53,1.26,1.79,64.3,19.1,45.2,42,36,2.79,2.39,53.9,2.11,2.5,45.8,2.23,2.23,50.1,0.68,-0.11,8.1
2014-2015,5v5,JACK HILLEN,Carolina,D,38,469:37:00,419,454,53.5,58,48,56.7,50.8,52.8,54.7,53.8,50.4,-3.16,7.22,-4.8,3.6,96.5,100.1,364,110,102,152,0,5,5,0,0,0.64,0.64,33.3,0,33.3,15,16,1.92,2.04,48.4,2.34,2.08,52.9,2.19,2.22,49.6,-0.42,-0.04,-4.6
2014-2015,5v5,JOEY HISHON,Colorado,F(C),13,111:36:00,69,112,37.1,60.2,38.1,42.3,60.7,41.1,52.9,55.2,49,-5.23,-0.48,-3,1.4,98.2,99.7,95,42,29,24,0,1,1,0,0,0.54,0.54,100,0,100,1,2,0.54,1.08,33.3,2.14,2.41,47,2.03,2.3,47,-1.6,-1.34,-13.7
