season,situation,name,toi,gp,gf,ga,gf60,ga60,gf_per,cf,ca,cf60,ca60,cf_per,sh_per,sv_per,pdo,csh_per,csv_per,cpdo,nzfo_per,dzfo_per,ozfo_per
2014-2015,5v5 Close,Florida,2625:12:00,82,95,93,2.17,2.13,50.5,2367,2294,54.1,52.43,50.8,7.3,92.66,99.96,4.01,95.95,99.96,36.7,31.69,31.61
2014-2015,5v5 Close,Los Angeles,2334:50:00,82,85,80,2.18,2.06,51.5,2288,1954,58.8,50.21,53.9,7.17,92.42,99.59,3.72,95.91,99.62,35.62,29.71,34.67
2014-2015,5v5 Close,Minnesota,2357:08:00,82,97,83,2.47,2.11,53.9,2183,2118,55.57,53.91,50.8,8.35,92.26,100.61,4.44,96.08,100.53,36.47,30.53,33.01
2014-2015,5v5 Close,Montreal,2509:11:00,82,90,76,2.15,1.82,54.2,2321,2358,55.5,56.38,49.6,7.25,93.66,100.91,3.88,96.78,100.66,36.03,33.24,30.73
2014-2015,5v5 Close,Nashville,2582:11:00,82,105,79,2.44,1.84,57.1,2595,2255,60.3,52.4,53.5,7.63,93.34,100.97,4.05,96.5,100.54,34.08,31.55,34.38
2014-2015,5v5 Close,New Jersey,2511:11:00,82,72,73,1.72,1.74,49.7,1936,2118,46.26,50.61,47.8,6.88,93.93,100.82,3.72,96.55,100.27,38.24,32.86,28.89
2014-2015,5v5 Close,NY Islanders,2611:21:00,82,104,90,2.39,2.07,53.6,2715,2417,62.38,55.53,52.9,7.39,92.53,99.92,3.83,96.28,100.11,36.61,30.53,32.85
2014-2015,5v5 Close,NY Rangers,2455:31:00,82,113,81,2.76,1.98,58.2,2270,2291,55.47,55.98,49.8,8.9,93.39,102.29,4.98,96.46,101.44,36.42,31.6,31.97
2014-2015,5v5 Close,Ottawa,2591:59:00,82,96,93,2.22,2.15,50.8,2420,2467,56.02,57.11,49.5,7.6,93.43,101.03,3.97,96.23,100.2,36.37,32.98,30.65
2014-2015,5v5 Close,Philadelphia,2574:48:00,82,82,89,1.91,2.07,48,2329,2411,54.27,56.18,49.1,6.97,93.02,99.99,3.52,96.31,99.83,35.22,32.02,32.77
2014-2015,5v5 Close,Pittsburgh,2328:58:00,82,89,71,2.29,1.83,55.6,2243,1928,57.79,49.67,53.8,7.28,93.24,100.53,3.97,96.32,100.29,37.45,27.59,34.95
2014-2015,5v5 Close,San Jose,2464:16:00,82,85,94,2.07,2.29,47.5,2504,2321,60.97,56.51,51.9,6.77,92.28,99.05,3.39,95.95,99.34,36.19,32.68,31.13
2014-2015,5v5 Close,St. Louis,2574:10:00,82,102,82,2.38,1.91,55.4,2397,2289,55.87,53.35,51.2,7.8,93.06,100.86,4.26,96.42,100.67,35.37,32.89,31.73
2014-2015,5v5 Close,Tampa Bay,2297:27:00,82,99,81,2.59,2.12,55,2176,1862,56.83,48.63,53.9,8.56,91.65,100.21,4.55,95.65,100.2,40.01,26.42,33.57
2014-2015,5v5 Close,Toronto,2199:43:00,82,76,110,2.07,3,40.9,1903,2305,51.91,62.87,45.2,7.52,91.17,98.69,3.99,95.23,99.22,36.27,36.5,27.23
2014-2015,5v5 Close,Vancouver,2328:21:00,82,88,96,2.27,2.47,47.8,2153,2139,55.48,55.12,50.2,7.37,91.5,98.87,4.09,95.51,99.6,36.4,31.03,32.57
2014-2015,5v5 Close,Washington,2498:44:00,82,89,84,2.14,2.02,51.4,2336,2197,56.09,52.75,51.5,7.63,92.55,100.19,3.81,96.18,99.99,37.91,29.48,32.62
2014-2015,5v5 Close,Winnipeg,2465:43:00,82,93,72,2.26,1.75,56.4,2357,1995,57.35,48.55,54.2,7.55,93.26,100.81,3.95,96.39,100.34,36.24,29.55,34.21
2013-2014,5v5 Close,Anaheim,2212:16:00,82,119,75,3.23,2.03,61.3,2038,2069,55.27,56.11,49.6,10.75,92.84,103.59,5.84,96.38,102.21,36.92,31.43,31.65
2013-2014,5v5 Close,Arizona,2413:23:00,82,86,84,2.14,2.09,50.6,2232,2254,55.49,56.04,49.8,7.17,93.09,100.26,3.85,96.27,100.13,38.55,29.76,31.69
2013-2014,5v5 Close,Boston,2463:11:00,82,109,65,2.66,1.58,62.6,2472,2019,60.21,49.18,55,8.56,94.27,102.82,4.41,96.78,101.19,36.76,27.39,35.85
2013-2014,5v5 Close,Buffalo,2523:42:00,82,59,114,1.4,2.71,34.1,1906,2743,45.31,65.21,41,5.65,92.22,97.88,3.1,95.84,98.94,36.3,37.36,26.33
2013-2014,5v5 Close,Calgary,2505:34:00,82,82,104,1.96,2.49,44.1,2100,2481,50.29,59.41,45.8,7.39,91.34,98.73,3.9,95.81,99.71,36.97,32.87,30.16
2013-2014,5v5 Close,Carolina,2443:33:00,82,89,103,2.19,2.53,46.4,2357,2431,57.87,59.69,49.2,7.39,92.1,99.49,3.78,95.76,99.54,36.43,32.11,31.46
2013-2014,5v5 Close,Chicago,2513:57:00,82,107,84,2.55,2,56,2443,1938,58.31,46.25,55.8,7.82,92.28,100.1,4.38,95.67,100.05,38.49,27.54,33.96
2013-2014,5v5 Close,Colorado,2446:11:00,82,100,80,2.45,1.96,55.6,2142,2378,52.54,58.33,47.4,8.59,93.56,102.16,4.67,96.64,101.3,35.64,31.54,32.82
2013-2014,5v5 Close,Columbus,2376:19:00,82,91,80,2.3,2.02,53.2,2124,2060,53.63,52.01,50.8,7.85,92.98,100.83,4.28,96.12,100.4,37.25,31.94,30.81
2013-2014,5v5 Close,Dallas,2317:46:00,82,101,96,2.61,2.49,51.3,2301,2191,59.57,56.72,51.2,8.24,91.66,99.9,4.39,95.62,100.01,38.74,29.12,32.14
2013-2014,5v5 Close,Detroit,2488:59:00,82,99,85,2.39,2.05,53.8,2124,2015,51.2,48.57,51.3,8.27,92.93,101.21,4.66,95.78,100.44,37.23,29.08,33.68
2013-2014,5v5 Close,Edmonton,2206:32:00,82,78,110,2.12,2.99,41.5,1782,2323,48.46,63.17,43.4,8.25,91.08,99.32,4.38,95.26,99.64,38.25,35.25,26.5
2013-2014,5v5 Close,Florida,2211:05:00,82,64,114,1.74,3.09,36,1939,1967,52.62,53.38,49.6,5.85,89.85,95.7,3.3,94.2,97.51,38.55,31.94,29.51
2013-2014,5v5 Close,Los Angeles,2372:43:00,82,75,66,1.9,1.67,53.2,2478,1851,62.66,46.81,57.2,5.89,93.37,99.26,3.03,96.43,99.46,35.94,27.86,36.2
2013-2014,5v5 Close,Minnesota,2498:10:00,82,76,80,1.83,1.92,48.7,2050,2199,49.24,52.81,48.2,6.93,92.95,99.88,3.71,96.36,100.07,36.02,32.5,31.48
2013-2014,5v5 Close,Montreal,2342:26:00,82,87,77,2.23,1.97,53,2129,2380,54.53,60.96,47.2,7.82,93.55,101.37,4.09,96.76,100.85,38.3,33.72,27.98
2013-2014,5v5 Close,Nashville,2388:59:00,82,95,97,2.39,2.44,49.5,2039,2088,51.21,52.44,49.4,8.18,90.88,99.06,4.66,95.35,100.01,37.29,32.88,29.83
2013-2014,5v5 Close,New Jersey,2641:02:00,82,85,93,1.93,2.11,47.8,2247,1863,51.05,42.32,54.7,7.17,91.39,98.56,3.78,95.01,98.79,38.99,28.98,32.03
2013-2014,5v5 Close,NY Islanders,2495:40:00,82,87,111,2.09,2.67,43.9,2322,2372,55.82,57.03,49.5,7.15,91.02,98.17,3.75,95.32,99.07,36.34,31.6,32.06
2013-2014,5v5 Close,NY Rangers,2412:20:00,82,83,84,2.06,2.09,49.7,2450,2154,60.94,53.57,53.2,6.07,92.65,98.72,3.39,96.1,99.49,36.59,30.18,33.23
2013-2014,5v5 Close,Ottawa,2416:40:00,82,95,94,2.36,2.33,50.3,2547,2335,63.24,57.97,52.2,7.15,93.18,100.33,3.73,95.97,99.7,37.6,30.4,32
2013-2014,5v5 Close,Philadelphia,2267:11:00,82,81,99,2.14,2.62,45,2100,2166,55.58,57.32,49.2,7.62,91.78,99.4,3.86,95.43,99.29,38.87,29.21,31.92
2013-2014,5v5 Close,Pittsburgh,2408:41:00,82,95,81,2.37,2.02,54,2149,2172,53.53,54.1,49.7,8.16,92.62,100.79,4.42,96.27,100.69,41.37,29.56,29.07
2013-2014,5v5 Close,San Jose,2411:49:00,82,101,86,2.51,2.14,54,2556,2169,63.59,53.96,54.1,7.58,92.18,99.76,3.95,96.04,99.99,37.46,31.35,31.19
2013-2014,5v5 Close,St. Louis,2251:25:00,82,88,76,2.35,2.03,53.7,2125,1875,56.63,49.97,53.1,8.16,92.46,100.62,4.14,95.95,100.09,37.68,29.82,32.5
2013-2014,5v5 Close,Tampa Bay,2518:54:00,82,97,77,2.31,1.83,55.7,2334,2200,55.6,52.4,51.5,7.7,93.31,101.02,4.16,96.5,100.66,38.28,28.89,32.82
2013-2014,5v5 Close,Toronto,2377:52:00,82,87,95,2.2,2.4,47.8,1951,2678,49.23,67.57,42.1,8.24,93.16,101.39,4.46,96.45,100.91,36.67,38.35,24.98
2013-2014,5v5 Close,Vancouver,2597:38:00,82,93,91,2.15,2.1,50.5,2545,2352,58.78,54.33,52,7.08,92.58,99.66,3.65,96.13,99.79,36.38,33.9,29.72
2013-2014,5v5 Close,Washington,2481:04:00,82,84,94,2.03,2.27,47.2,2157,2367,52.16,57.24,47.7,7.41,92.65,100.06,3.89,96.03,99.92,38.01,29.69,32.29
2013-2014,5v5 Close,Winnipeg,2617:30:00,82,109,107,2.5,2.45,50.5,2471,2520,56.64,57.77,49.5,8.3,91.89,100.2,4.41,95.75,100.17,40.35,29.24,30.41
